"","param1","param2","param3","param4","param5","param6","output"
"299","vhigh","med","5more","2","small","med","unacc"
"306","vhigh","med","5more","2","big","high","unacc"
"308","vhigh","med","5more","4","small","med","unacc"
"315","vhigh","med","5more","4","big","high","acc"
"317","vhigh","med","5more","more","small","med","unacc"
"318","vhigh","med","5more","more","small","high","unacc"
"319","vhigh","med","5more","more","med","low","unacc"
"320","vhigh","med","5more","more","med","med","unacc"
"326","vhigh","low","2","2","small","med","unacc"
"334","vhigh","low","2","4","small","low","unacc"
"338","vhigh","low","2","4","med","med","unacc"
"349","vhigh","low","2","more","big","low","unacc"
"356","vhigh","low","3","2","med","med","unacc"
"357","vhigh","low","3","2","med","high","unacc"
"362","vhigh","low","3","4","small","med","unacc"
"363","vhigh","low","3","4","small","high","unacc"
"364","vhigh","low","3","4","med","low","unacc"
"366","vhigh","low","3","4","med","high","acc"
"371","vhigh","low","3","more","small","med","unacc"
"376","vhigh","low","3","more","big","low","unacc"
"377","vhigh","low","3","more","big","med","unacc"
"379","vhigh","low","4","2","small","low","unacc"
"384","vhigh","low","4","2","med","high","unacc"
"385","vhigh","low","4","2","big","low","unacc"
"387","vhigh","low","4","2","big","high","unacc"
"390","vhigh","low","4","4","small","high","unacc"
"395","vhigh","low","4","4","big","med","unacc"
"398","vhigh","low","4","more","small","med","unacc"
"404","vhigh","low","4","more","big","med","unacc"
"405","vhigh","low","4","more","big","high","acc"
"409","vhigh","low","5more","2","med","low","unacc"
"410","vhigh","low","5more","2","med","med","unacc"
"411","vhigh","low","5more","2","med","high","unacc"
"422","vhigh","low","5more","4","big","med","unacc"
"425","vhigh","low","5more","more","small","med","unacc"
"427","vhigh","low","5more","more","med","low","unacc"
"428","vhigh","low","5more","more","med","med","unacc"
"437","high","vhigh","2","2","med","med","unacc"
"446","high","vhigh","2","4","med","med","unacc"
"447","high","vhigh","2","4","med","high","unacc"
"449","high","vhigh","2","4","big","med","unacc"
"458","high","vhigh","2","more","big","med","unacc"
"463","high","vhigh","3","2","med","low","unacc"
"464","high","vhigh","3","2","med","med","unacc"
"466","high","vhigh","3","2","big","low","unacc"
"469","high","vhigh","3","4","small","low","unacc"
"472","high","vhigh","3","4","med","low","unacc"
"479","high","vhigh","3","more","small","med","unacc"
"481","high","vhigh","3","more","med","low","unacc"
"487","high","vhigh","4","2","small","low","unacc"
"504","high","vhigh","4","4","big","high","acc"
"508","high","vhigh","4","more","med","low","unacc"
"515","high","vhigh","5more","2","small","med","unacc"
"517","high","vhigh","5more","2","med","low","unacc"
"522","high","vhigh","5more","2","big","high","unacc"
"532","high","vhigh","5more","more","small","low","unacc"
"539","high","vhigh","5more","more","big","med","unacc"
"548","high","high","2","2","big","med","unacc"
"549","high","high","2","2","big","high","unacc"
"550","high","high","2","4","small","low","unacc"
"551","high","high","2","4","small","med","unacc"
"554","high","high","2","4","med","med","acc"
"560","high","high","2","more","small","med","unacc"
"571","high","high","3","2","med","low","unacc"
"578","high","high","3","4","small","med","acc"
"587","high","high","3","more","small","med","unacc"
"589","high","high","3","more","med","low","unacc"
"591","high","high","3","more","med","high","acc"
"599","high","high","4","2","med","med","unacc"
"602","high","high","4","2","big","med","unacc"
"606","high","high","4","4","small","high","acc"
"611","high","high","4","4","big","med","acc"
"613","high","high","4","more","small","low","unacc"
"622","high","high","5more","2","small","low","unacc"
"623","high","high","5more","2","small","med","unacc"
"624","high","high","5more","2","small","high","unacc"
"626","high","high","5more","2","med","med","unacc"
"628","high","high","5more","2","big","low","unacc"
"631","high","high","5more","4","small","low","unacc"
"632","high","high","5more","4","small","med","acc"
"634","high","high","5more","4","med","low","unacc"
"635","high","high","5more","4","med","med","acc"
"636","high","high","5more","4","med","high","acc"
"641","high","high","5more","more","small","med","unacc"
"644","high","high","5more","more","med","med","acc"
"645","high","high","5more","more","med","high","acc"
"646","high","high","5more","more","big","low","unacc"
"648","high","high","5more","more","big","high","acc"
"653","high","med","2","2","med","med","unacc"
"654","high","med","2","2","med","high","unacc"
"655","high","med","2","2","big","low","unacc"
"656","high","med","2","2","big","med","unacc"
"660","high","med","2","4","small","high","acc"
"668","high","med","2","more","small","med","unacc"
"671","high","med","2","more","med","med","acc"
"672","high","med","2","more","med","high","acc"
"675","high","med","2","more","big","high","acc"
"680","high","med","3","2","med","med","unacc"
"684","high","med","3","2","big","high","unacc"
"705","high","med","4","2","small","high","unacc"
"709","high","med","4","2","big","low","unacc"
"710","high","med","4","2","big","med","unacc"
"713","high","med","4","4","small","med","acc"
"721","high","med","4","more","small","low","unacc"
"722","high","med","4","more","small","med","acc"
"725","high","med","4","more","med","med","acc"
"730","high","med","5more","2","small","low","unacc"
"746","high","med","5more","4","big","med","acc"
"751","high","med","5more","more","med","low","unacc"
"754","high","med","5more","more","big","low","unacc"
"757","high","low","2","2","small","low","unacc"
"761","high","low","2","2","med","med","unacc"
"765","high","low","2","2","big","high","unacc"
"767","high","low","2","4","small","med","unacc"
"774","high","low","2","4","big","high","acc"
"785","high","low","3","2","small","med","unacc"
"789","high","low","3","2","med","high","unacc"
"794","high","low","3","4","small","med","unacc"
"798","high","low","3","4","med","high","acc"
"801","high","low","3","4","big","high","acc"
"802","high","low","3","more","small","low","unacc"
"807","high","low","3","more","med","high","acc"
"808","high","low","3","more","big","low","unacc"
"809","high","low","3","more","big","med","acc"
"810","high","low","3","more","big","high","acc"
"812","high","low","4","2","small","med","unacc"
"815","high","low","4","2","med","med","unacc"
"827","high","low","4","4","big","med","acc"
"829","high","low","4","more","small","low","unacc"
"830","high","low","4","more","small","med","unacc"
"835","high","low","4","more","big","low","unacc"
"845","high","low","5more","2","big","med","unacc"
"847","high","low","5more","4","small","low","unacc"
"850","high","low","5more","4","med","low","unacc"
"860","high","low","5more","more","med","med","acc"
"863","high","low","5more","more","big","med","acc"
"864","high","low","5more","more","big","high","acc"
"869","med","vhigh","2","2","med","med","unacc"
"878","med","vhigh","2","4","med","med","unacc"
"884","med","vhigh","2","more","small","med","unacc"
"891","med","vhigh","2","more","big","high","acc"
"895","med","vhigh","3","2","med","low","unacc"
"897","med","vhigh","3","2","med","high","unacc"
"899","med","vhigh","3","2","big","med","unacc"
"901","med","vhigh","3","4","small","low","unacc"
"902","med","vhigh","3","4","small","med","unacc"
"906","med","vhigh","3","4","med","high","acc"
"912","med","vhigh","3","more","small","high","unacc"
"914","med","vhigh","3","more","med","med","unacc"
"916","med","vhigh","3","more","big","low","unacc"
"920","med","vhigh","4","2","small","med","unacc"
"923","med","vhigh","4","2","med","med","unacc"
"929","med","vhigh","4","4","small","med","unacc"
"933","med","vhigh","4","4","med","high","acc"
"934","med","vhigh","4","4","big","low","unacc"
"939","med","vhigh","4","more","small","high","unacc"
"940","med","vhigh","4","more","med","low","unacc"
"942","med","vhigh","4","more","med","high","acc"
"943","med","vhigh","4","more","big","low","unacc"
"947","med","vhigh","5more","2","small","med","unacc"
"951","med","vhigh","5more","2","med","high","unacc"
"956","med","vhigh","5more","4","small","med","unacc"
"957","med","vhigh","5more","4","small","high","acc"
"959","med","vhigh","5more","4","med","med","acc"
"973","med","high","2","2","small","low","unacc"
"976","med","high","2","2","med","low","unacc"
"977","med","high","2","2","med","med","unacc"
"978","med","high","2","2","med","high","unacc"
"981","med","high","2","2","big","high","unacc"
"983","med","high","2","4","small","med","acc"
"986","med","high","2","4","med","med","acc"
"987","med","high","2","4","med","high","acc"
"988","med","high","2","4","big","low","unacc"
"991","med","high","2","more","small","low","unacc"
"999","med","high","2","more","big","high","acc"
"1000","med","high","3","2","small","low","unacc"
"1001","med","high","3","2","small","med","unacc"
"1004","med","high","3","2","med","med","unacc"
"1006","med","high","3","2","big","low","unacc"
"1017","med","high","3","4","big","high","acc"
"1027","med","high","4","2","small","low","unacc"
"1032","med","high","4","2","med","high","unacc"
"1037","med","high","4","4","small","med","acc"
"1045","med","high","4","more","small","low","unacc"
"1046","med","high","4","more","small","med","acc"
"1049","med","high","4","more","med","med","acc"
"1053","med","high","4","more","big","high","acc"
"1059","med","high","5more","2","med","high","unacc"
"1061","med","high","5more","2","big","med","unacc"
"1070","med","high","5more","4","big","med","acc"
"1072","med","high","5more","more","small","low","unacc"
"1077","med","high","5more","more","med","high","acc"
"1080","med","high","5more","more","big","high","acc"
"1081","med","med","2","2","small","low","unacc"
"1082","med","med","2","2","small","med","unacc"
"1088","med","med","2","2","big","med","unacc"
"1089","med","med","2","2","big","high","unacc"
"1090","med","med","2","4","small","low","unacc"
"1091","med","med","2","4","small","med","acc"
"1095","med","med","2","4","med","high","acc"
"1098","med","med","2","4","big","high","acc"
"1103","med","med","2","more","med","med","acc"
"1104","med","med","2","more","med","high","acc"
"1108","med","med","3","2","small","low","unacc"
"1109","med","med","3","2","small","med","unacc"
"1114","med","med","3","2","big","low","unacc"
"1115","med","med","3","2","big","med","unacc"
"1116","med","med","3","2","big","high","unacc"
"1117","med","med","3","4","small","low","unacc"
"1120","med","med","3","4","med","low","unacc"
"1122","med","med","3","4","med","high","acc"
"1123","med","med","3","4","big","low","unacc"
"1127","med","med","3","more","small","med","acc"
"1129","med","med","3","more","med","low","unacc"
"1134","med","med","3","more","big","high","acc"
"1135","med","med","4","2","small","low","unacc"
"1136","med","med","4","2","small","med","unacc"
"1144","med","med","4","4","small","low","unacc"
"1146","med","med","4","4","small","high","acc"
"1153","med","med","4","more","small","low","unacc"
"1157","med","med","4","more","med","med","acc"
"1159","med","med","4","more","big","low","unacc"
"1160","med","med","4","more","big","med","acc"
"1161","med","med","4","more","big","high","vgood"
"1163","med","med","5more","2","small","med","unacc"
"1168","med","med","5more","2","big","low","unacc"
"1170","med","med","5more","2","big","high","unacc"
"1178","med","med","5more","4","big","med","acc"
"1180","med","med","5more","more","small","low","unacc"
"1183","med","med","5more","more","med","low","unacc"
"1195","med","low","2","2","big","low","unacc"
"1197","med","low","2","2","big","high","unacc"
"1198","med","low","2","4","small","low","unacc"
"1202","med","low","2","4","med","med","good"
"1205","med","low","2","4","big","med","acc"
"1206","med","low","2","4","big","high","acc"
"1208","med","low","2","more","small","med","unacc"
"1209","med","low","2","more","small","high","acc"
"1214","med","low","2","more","big","med","acc"
"1218","med","low","3","2","small","high","unacc"
"1225","med","low","3","4","small","low","unacc"
"1233","med","low","3","4","big","high","acc"
"1240","med","low","3","more","big","low","unacc"
"1241","med","low","3","more","big","med","acc"
"1242","med","low","3","more","big","high","acc"
"1243","med","low","4","2","small","low","unacc"
"1247","med","low","4","2","med","med","unacc"
"1250","med","low","4","2","big","med","unacc"
"1251","med","low","4","2","big","high","unacc"
"1262","med","low","4","more","small","med","acc"
"1269","med","low","4","more","big","high","vgood"
"1275","med","low","5more","2","med","high","unacc"
"1281","med","low","5more","4","small","high","acc"
"1285","med","low","5more","4","big","low","unacc"
"1287","med","low","5more","4","big","high","acc"
"1289","med","low","5more","more","small","med","acc"
"1290","med","low","5more","more","small","high","acc"
"1294","med","low","5more","more","big","low","unacc"
"1304","low","vhigh","2","2","big","med","unacc"
"1310","low","vhigh","2","4","med","med","unacc"
"1313","low","vhigh","2","4","big","med","unacc"
"1316","low","vhigh","2","more","small","med","unacc"
"1318","low","vhigh","2","more","med","low","unacc"
"1319","low","vhigh","2","more","med","med","unacc"
"1330","low","vhigh","3","2","big","low","unacc"
"1333","low","vhigh","3","4","small","low","unacc"
"1336","low","vhigh","3","4","med","low","unacc"
"1345","low","vhigh","3","more","med","low","unacc"
"1346","low","vhigh","3","more","med","med","unacc"
"1348","low","vhigh","3","more","big","low","unacc"
"1349","low","vhigh","3","more","big","med","unacc"
"1351","low","vhigh","4","2","small","low","unacc"
"1357","low","vhigh","4","2","big","low","unacc"
"1358","low","vhigh","4","2","big","med","unacc"
"1360","low","vhigh","4","4","small","low","unacc"
"1366","low","vhigh","4","4","big","low","unacc"
"1367","low","vhigh","4","4","big","med","unacc"
"1372","low","vhigh","4","more","med","low","unacc"
"1384","low","vhigh","5more","2","big","low","unacc"
"1390","low","vhigh","5more","4","med","low","unacc"
"1392","low","vhigh","5more","4","med","high","acc"
"1401","low","vhigh","5more","more","med","high","unacc"
"1411","low","high","2","2","big","low","unacc"
"1417","low","high","2","4","med","low","unacc"
"1418","low","high","2","4","med","med","unacc"
"1421","low","high","2","4","big","med","acc"
"1422","low","high","2","4","big","high","acc"
"1433","low","high","3","2","small","med","unacc"
"1436","low","high","3","2","med","med","unacc"
"1443","low","high","3","4","small","high","acc"
"1446","low","high","3","4","med","high","acc"
"1450","low","high","3","more","small","low","unacc"
"1455","low","high","3","more","med","high","acc"
"1456","low","high","3","more","big","low","unacc"
"1462","low","high","4","2","med","low","unacc"
"1469","low","high","4","4","small","med","unacc"
"1470","low","high","4","4","small","high","acc"
"1471","low","high","4","4","med","low","unacc"
"1475","low","high","4","4","big","med","acc"
"1478","low","high","4","more","small","med","unacc"
"1480","low","high","4","more","med","low","unacc"
"1484","low","high","4","more","big","med","acc"
"1487","low","high","5more","2","small","med","unacc"
"1489","low","high","5more","2","med","low","unacc"
"1504","low","high","5more","more","small","low","unacc"
"1506","low","high","5more","more","small","high","acc"
"1508","low","high","5more","more","med","med","acc"
"1516","low","med","2","2","med","low","unacc"
"1518","low","med","2","2","med","high","unacc"
"1522","low","med","2","4","small","low","unacc"
"1528","low","med","2","4","big","low","unacc"
"1533","low","med","2","more","small","high","acc"
"1537","low","med","2","more","big","low","unacc"
"1538","low","med","2","more","big","med","acc"
"1540","low","med","3","2","small","low","unacc"
"1554","low","med","3","4","med","high","vgood"
"1559","low","med","3","more","small","med","acc"
"1573","low","med","4","2","big","low","unacc"
"1574","low","med","4","2","big","med","unacc"
"1583","low","med","4","4","big","med","acc"
"1586","low","med","4","more","small","med","acc"
"1587","low","med","4","more","small","high","acc"
"1589","low","med","4","more","med","med","good"
"1593","low","med","4","more","big","high","vgood"
"1604","low","med","5more","4","small","med","acc"
"1605","low","med","5more","4","small","high","acc"
"1608","low","med","5more","4","med","high","vgood"
"1615","low","med","5more","more","med","low","unacc"
"1618","low","med","5more","more","big","low","unacc"
"1621","low","low","2","2","small","low","unacc"
"1626","low","low","2","2","med","high","unacc"
"1628","low","low","2","2","big","med","unacc"
"1629","low","low","2","2","big","high","unacc"
"1632","low","low","2","4","small","high","unacc"
"1633","low","low","2","4","med","low","unacc"
"1634","low","low","2","4","med","med","good"
"1638","low","low","2","4","big","high","acc"
"1640","low","low","2","more","small","med","good"
"1651","low","low","3","2","med","low","unacc"
"1659","low","low","3","4","small","high","acc"
"1661","low","low","3","4","med","med","good"
"1666","low","low","3","more","small","low","unacc"
"1668","low","low","3","more","small","high","acc"
"1675","low","low","4","2","small","low","unacc"
"1686","low","low","4","4","small","high","acc"
"1690","low","low","4","4","big","low","unacc"
"1694","low","low","4","more","small","med","good"
"1702","low","low","5more","2","small","low","unacc"
"1704","low","low","5more","2","small","high","unacc"
"1712","low","low","5more","4","small","med","good"
"1714","low","low","5more","4","med","low","unacc"
"1718","low","low","5more","4","big","med","good"
"1719","low","low","5more","4","big","high","vgood"
"1721","low","low","5more","more","small","med","good"
"1722","low","low","5more","more","small","high","acc"
"1725","low","low","5more","more","med","high","vgood"
"1728","low","low","5more","more","big","high","vgood"
